"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S036548"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190625112349"|"AA00082"|"Tonbridge, Shrewsbury"|"N"
"S036548"|"TOP SCHOOLS WEEKEND 2019"|"20190625112426"|"AA00082"|"Tonbridge, Shrewsbury

Prefer 21/9 morning: Audition; afternoon: Interview"|"N"
"S037747"|"TOP SCHOOLS WEEKEND 2019"|"20190625135357"|"AA00029"|""|"N"
"S036208"|"TOP SCHOOLS WEEKEND 2019"|"20190625144949"|"AA00082"|"Charterhouse"|"N"
"S037423"|"UK EDUCATION EXPO (OCT 2019)"|"20190705234011"|"AA00007"|"sevenoaks, cheltenham"|"N"
"S038079"|"TOP SCHOOLS WEEKEND 2019"|"20190802123021"|"AA00007"|"cannot send Brighton"|"N"
"S038077"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190708172046"|"AA00079"|""|"N"
"S038560"|"HANDCROSS PARK SCHOOL (19 SEP 2019)"|"20190913103953"|"AA00073"|""|"N"
"S037547"|"TOP SCHOOLS WEEKEND 2019"|"20190914185257"|"AA00007"|"20190914: cfmed attend
20190812: booked TB & UPP- sent int schedule
upp(referral)"|"N"
"S038614"|"TOP SCHOOLS WEEKEND 2019"|"20190914213510"|"AA00007"|"20190914: ed sch"|"N"
"S037193"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190918150844"|"AA00073"|""|"N"
"S035532"|"TOP SCHOOLS WEEKEND 2019"|"20190625170218"|"AA00073"|"Arrange Bromsgrove and Lancing."|"N"
"S035067"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190817133828"|"AA00007"|"harrow"|"N"
"S036111"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190627144057"|"AA00079"|""|"N"
"S037058"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190627144057"|"AA00079"|""|"N"
"S038105"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190627145848"|"AA00079"|""|"N"
"S038457"|"TOP SCHOOLS WEEKEND 2019"|"20190820112239"|"AA00029"|""|"N"
"S037438"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190628115634"|"AA00079"|""|"N"
"S037322"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190628115634"|"AA00079"|""|"N"
"S038212"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190628115634"|"AA00079"|""|"N"
"S038520"|"TOP SCHOOLS WEEKEND 2019"|"20190827011848"|"AA00073"|"Brighton, Caterham, Ardingly, King's, Uppingham"|"N"
"S037629"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190910155305"|"AA00073"|""|"N"
"S038517"|"TOP SCHOOLS WEEKEND 2019"|"20190903152306"|"AA00032"|"20190903: confirmed attend
20190831: ed sch"|"N"
"S037916"|"TOP SCHOOLS WEEKEND 2019"|"20190829132200"|"AA00098"|"20190828 - cfmed attend
20190827: ed schedule
await p to cfm school list"|"N"
"S036745"|"TOP SCHOOLS WEEKEND 2018"|"20190705104944"|"AA00073"|"Tonbridge, Brighton, Harrow, Radley and Charterhouse.

1st day: Harrow, Charterhouse, Radley
2nd day, afternoon:  Tonbridge & Brighton   (Got church in the morning)"|"N"
"S038645"|"UK EDUCATION EXPO (OCT 2019)"|"20190930202009"|"AA00007"|"whitgift, bedford"|"N"
"S038335"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190910155400"|"AA00073"|""|"N"
"S037192"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190918152038"|"AA00073"|""|"N"
"S037776"|"UK EDUCATION EXPO (OCT 2019)"|"20190629122440"|"AA00029"|""|"N"
"S040347"|"TOP SCHOOLS 2020_VIRTUAL"|"20200915150428"|"AA00080"|""|"N"
"S037799"|"UK EDUCATION EXPO (OCT 2019)"|"20190629153350"|"AA00007"|"CRGS, LRGS"|"N"
"S038238"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190629155820"|"AA00079"|""|"N"
"S036203"|"TOP SCHOOLS WEEKEND 2019"|"20190629192227"|"AA00073"|"Benchmark not met.   Asked p to do UKiset as supplement.

Await UKiset results.

Headington + Badminton."|"N"
"S037876"|"TOP SCHOOLS WEEKEND 2019"|"20190629194831"|"AA00073"|"Harrow, Abingdon, Radley, Tonbridge, Charterhouse, Brighton, Shrewsbury.

Check to see if p has a top preference on any one school and strategize  interviews accordingly."|"N"
"S036962"|"TOP SCHOOLS WEEKEND 2019"|"20190908000309"|"AA00073"|"Brighton, Caterham, King's"|"N"
"S037376"|"UK EDUCATION EXPO (OCT 2019)"|"20190701140309"|"AA00007"|"whitgift"|"N"
"S037510"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190702145036"|"AA00082"|""|"N"
"S038210"|"TOP SCHOOLS WEEKEND 2019"|"20190702152220"|"AA00082"|"Lancing, Shrewsbury

Prefer SAT interview"|"N"
"S036468"|"TOP SCHOOLS WEEKEND 2019"|"20190801224459"|"AA00007"|"harrow-cannot send"|"N"
"S038564"|"TOP SCHOOLS WEEKEND 2019"|"20190912165227"|"AA00083"|""|"N"
"S038589"|"TOP SCHOOLS WEEKEND 2019"|"20190909100428"|"AA00098"|"20190909: cfmed attend"|"N"
"S037599"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190702162200"|"AA00079"|""|"N"
"S036745"|"UK EDUCATION EXPO (FEB 2019)"|"20190705105342"|"AA00073"|""|"N"
"S038590"|"TOP SCHOOLS WEEKEND 2019"|"20190909162634"|"AA00073"|"Brighton only"|"N"
"S037510"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190702181900"|"AA00079"|""|"N"
"S038289"|"TOP SCHOOLS WEEKEND 2019"|"20190702190100"|"AA00073"|"Check if p is interested in participating in TS."|"N"
"S035818"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190705145436"|"AA00079"|""|"N"
"S038355"|"TOP SCHOOLS WEEKEND 2019"|"20190912231432"|"AA00007"|""|"N"
"S037651"|"TOP SCHOOLS WEEKEND 2019"|"20190705152734"|"AA00073"|"Warwick & Lancing - will apply.

Abingdon

Update:  Lancing - reg already."|"N"
"S038667"|"TOP SCHOOLS WEEKEND 2019"|"20190913114705"|"AA00007"|""|"N"
"S037892"|"TOP SCHOOLS WEEKEND 2019"|"20190702200137"|"AA00073"|"Harrow

Note:  Avoid Sunday morning if possible.  Got church."|"N"
"S038529"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190914214030"|"AA00007"|""|"N"
"S038097"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190918171034"|"AA00073"|""|"N"
"S038635"|"TOP SCHOOLS WEEKEND 2019"|"20190916100656"|"AA00084"|""|"N"
"S038577"|"TOP SCHOOLS WEEKEND 2019"|"20190916110642"|"AA00098"|"20190916: cfmed attend"|"N"
"S038549"|"TOP SCHOOLS WEEKEND 2019"|"20190916143012"|"AA00083"|""|"N"
"S038308"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190720194049"|"AA00073"|"piano & violin"|"N"
"S036949"|"TOP SCHOOLS WEEKEND 2019"|"20190916155822"|"AA00082"|"Headington"|"N"
"S038674"|"TOP SCHOOLS WEEKEND 2019"|"20190916191055"|"AA00084"|""|"N"
"S038493"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190916233133"|"AA00007"|""|"N"
"S037894"|"TOP SCHOOLS WEEKEND 2019"|"20190802142630"|"AA00073"|"Music Scholar

Need to redo AA for Radley."|"N"
"S038049"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190917113326"|"AA00098"|"20190917: cfmed attend
20190914: ed sch"|"N"
"S037461"|"TOP SCHOOLS WEEKEND 2019"|"20190917121845"|"AA00098"|"20190917: cfmed attend
20190915: ed sch
king only"|"N"
"S038599"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190917143300"|"AA00082"|"Lancing, king's"|"N"
"S037916"|"UK EDUCATION EXPO (OCT 2019)"|"20190917152115"|"AA00007"|"ardingly. lrgs"|"N"
"S038257"|"TOP SCHOOLS WEEKEND 2019"|"20190921104934"|"AA00098"|"20190920: cfmed attend
20190917: ed sche"|"N"
"S034279"|"TOP SCHOOLS WEEKEND 2019"|"20190917195032"|"AA00082"|"Brighton"|"N"
"S038219"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190921111450"|"AA00029"|""|"N"
"S036976"|"TOP SCHOOLS WEEKEND 2019"|"20190814210045"|"AA00007"|"20190814: cfmed attend |
charterhouse, radley, harrow -can send"|"N"
"S038372"|"TOP SCHOOLS WEEKEND 2019"|"20190731120654"|"AA00082"|"Brighton, Shrewsbury (Sat morning)"|"N"
"S038470"|"TOP SCHOOLS WEEKEND 2019"|"20190817150603"|"AA00083"|""|"N"
"S038308"|"TOP SCHOOLS WEEKEND 2019"|"20190706200327"|"AA00073"|"p to provide list.


Potential music scholar:  Grade 8 piano (passed), and violin (Merit)"|"N"
"S038153"|"TOP SCHOOLS WEEKEND 2019"|"20190720164325"|"AA00080"|""|"N"
"S033214"|"TOP SCHOOLS WEEKEND 2019"|"20190720164409"|"AA00080"|""|"N"
"S037354"|"TOP SCHOOLS WEEKEND 2019"|"20190706205341"|"AA00073"|"A strong academic student.   Pending passing Math score, and p to suggest short-listed schools."|"N"
"S038275"|"TOP SCHOOLS WEEKEND 2019"|"20190706213138"|"AA00073"|"redo math. 

Check sch list with p.   P aims very high."|"N"
"S038453"|"TOP SCHOOLS WEEKEND 2019"|"20190820163305"|"AA00082"|"Headington, Badminton"|"N"
"S040598"|"UK EDUCATION EXPO (OCT 2020)"|"20201024220211"|"30012"|""|"N"
"S040206"|"UK EDUCATION EXPO (OCT 2020)"|"20201025174333"|"30012"|""|"N"
"S035251"|"TOP SCHOOLS WEEKEND 2019"|"20190820203028"|"AA00073"|"Warwick, Caterham, Bromsgrove, Shrewsbury."|"N"
"S038625"|"TOP SCHOOLS WEEKEND 2019"|"20190918100701"|"AA00007"|""|"N"
"S038310"|"TOP SCHOOLS WEEKEND 2019"|"20190707010233"|"AA00073"|"Brighton

Other schs:  tbc."|"N"
"S038416"|"TOP SCHOOLS WEEKEND 2019"|"20190823171226"|"AA00083"|""|"N"
