"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S036646"|257|"20180312"|5000|""|"20180312155854"|""|""|"Y"
"S030998"|543|"20180312"|250|""|"20180312163011"|""|""|"Y"
"S036529"|302|"20180312"|4500|""|"20180312164724"|""|""|"Y"
"S035285"|1|"20180313"|12990|""|"20180313110812"|""|""|"Y"
"S033932"|98|"20180313"|2880|""|"20180313141847"|""|""|"Y"
"S036472"|6|"20180313"|15000|""|"20180313150750"|""|""|"Y"
"S035596"|22|"20180313"|11050|""|"20180313154738"|""|""|"Y"
"S036553"|197|"20180315"|12236|""|"20180315145902"|""|""|"Y"
"S036682"|185|"20180315"|9941|""|"20180315150949"|""|""|"Y"
"S034279"|172|"20180317"|500|""|"20180317155607"|""|""|"Y"
"S036806"|68|"20180316"|1650|""|"20180316135155"|"AA00054"|""|"Y"
"S036154"|306|"20180316"|13125|""|"20180316180644"|""|""|"Y"
"S032341"|110|"20180317"|12225|""|"20180317181759"|""|""|"Y"
"S036676"|17|"20180308"|5400|""|"20181111212334"|"AA00007"|""|"Y"
"S034420"|384|"20180319"|13300|""|"20180319155118"|""|""|"Y"
"S036615"|3|"20180320"|2400|""|"20180320101953"|""|""|"Y"
"S035352"|452|"20180321"|500|""|"20180321112152"|""|""|"Y"
"S036546"|133|"20180320"|4454|""|"20180320103803"|"AA00071"|""|"Y"
"S036427"|100|"20180322"|1250|""|"20180322100343"|""|""|"Y"
"S036719"|182|"20180320"|500|""|"20180320152239"|"AA00071"|""|"Y"
"S036102"|130|"20180320"|12000|""|"20180320153242"|""|""|"Y"
"S035961"|11|"20180322"|11680|""|"20180322111642"|""|""|"Y"
"S035683"|670|"20180322"|300|""|"20180322164155"|""|""|"Y"
"S036451"|670|"20180322"|300|""|"20180322164209"|""|""|"Y"
"S036669"|504|"20180324"|6000|""|"20180324112849"|""|""|"Y"
"S036760"|302|"20180324"|4500|""|"20180324115942"|""|""|"Y"
