"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S008681"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140902"|"0455"|""|""|"20140714102803"|"AA00032"|""|208|1
"S012619"|"Y"|""|"British Airways BA26"|""|"London Heathrow T5"|"20140903"|"0455"|""|""|"20140718103236"|"AA00032"|""|8|1
"S009308"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714105304"|"AA00032"|""|244|1
"S007454"|"Y"|"School"|"Cathay Pacific"|""|"London Heathrow T3"|"20140901"|""|""|""|"20140726164539"|"AA00032"|"will send later"|195|1
"S030678"|"Y"|"School"|"Emirate EK0017"|""|"Manchester T1"|"20140831"|"1155"|""|""|"20140726164215"|"AA00032"|"will send later"|34|1
"S030678"|"N"|""|"Emirate EK0381"|""|"Dubai T3"|"20140831"|"0435"|""|""|"20140726174309"|"AA00032"|""|34|1
"S030678"|"N"|""|"Emirate EK0017"|""|"Manchester T1"|"20140831"|"1155"|"itin received"|""|"20140726174343"|"AA00032"|""|34|2
"S008681"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140902"|"0455"|""|""|"20140726164800"|"AA00032"|"will send later"|208|1
"S012618"|"Y"|"School"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140830"|"0540"|"itin received"|""|"20140726145240"|"AA00032"|"Travel alone,
coach service"|231|1
"S011517"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726155417"|"AA00032"|"voicemail on 26July"|238|1
"S012637"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726155034"|"AA00032"|"will send later 26July"|201|1
"S030215"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726161345"|"AA00032"|"will send it today or next mon"|312|1
"S031310"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726163821"|"AA00032"|"will send later"|258|1
"S009822"|"N"|""|"Singapore Airlines SQ865"|""|"Singapore"|"20140829"|"2240"|"itin received"|""|"20140726145454"|"AA00032"|""|61|1
"S009822"|"Y"|"WHG"|"Singapore Airlines SQ322"|""|"London Heathrow"|"20140830"|"0555"|"itin received"|""|"20140726150229"|"AA00032"|""|61|2
